iter	RMSE
0	0.6368531944
1	0.6186698441
2	0.6006545933
3	0.5846491508
4	0.5706663886
5	0.5566478395
6	0.5426063144
7	0.529590971
8	0.517373325
9	0.5076684403
10	0.4987796899
11	0.4886226383
12	0.4805928093
13	0.4722435274
14	0.4660620855
15	0.4591741033
16	0.4540639004
17	0.4475989014
18	0.4414245481
19	0.4372662815
20	0.4333886831
21	0.4293840907
22	0.4245611605
23	0.42137564
24	0.4173225709
25	0.4141285119
26	0.4104456369
27	0.4072185603
28	0.4048766306
29	0.4027837872
30	0.4000458989
31	0.3972697204
32	0.3948151316
33	0.3932758475
34	0.3909885318
35	0.3894427086
36	0.387354392
37	0.3853752743
38	0.3835928006
39	0.3818666741
40	0.3807044887
41	0.3793837438
42	0.3784573641
43	0.3765137104
44	0.3752665075
45	0.3737984015
46	0.3727839512
47	0.3716260934
48	0.3703716445
49	0.3696322406
50	0.3687568117
51	0.3678032609
52	0.3673243131
53	0.3664156332
54	0.3656703886
55	0.3651343805
56	0.3644346171
57	0.363961257
58	0.3635004265
59	0.3628233272
60	0.3621106337
61	0.3618384932
62	0.3614063701
63	0.3605489244
64	0.3598219828
65	0.3589174577
66	0.3585719608
67	0.3583351068
68	0.3576533584
69	0.3572501088
70	0.3565771464
71	0.3561343004
72	0.3557360995
73	0.3553986818
74	0.3546507067
75	0.3542370963
76	0.3539836655
77	0.3535302119
78	0.3530611144
79	0.3527161326
80	0.3524514732
81	0.351874756
82	0.3513414747
83	0.3509362934
84	0.3504513698
85	0.3502423504
86	0.3497549754
87	0.3493663537
88	0.3491396372
89	0.3486963505
90	0.3483978736
91	0.3482018547
92	0.3478549039
93	0.3476305555
94	0.3472264524
95	0.3469759959
96	0.346585591
97	0.3463401538
98	0.346086478
99	0.3457141452
100	0.3453174803
101	0.3451913257
102	0.344956869
103	0.3448120481
104	0.3443638302
105	0.3441248706
106	0.34398267
107	0.3435162505
108	0.3433891451
109	0.342723165
110	0.342437629
111	0.3422810015
112	0.342064588
113	0.3418580524
114	0.3416552307
115	0.3414777191
116	0.3413301213
117	0.340959046
118	0.3407567113
119	0.340573619
120	0.3400532206
121	0.3397859608
122	0.3396070173
123	0.3395117855
124	0.3391190233
125	0.3387708803
126	0.3386082199
127	0.3383470916
128	0.3380363285
129	0.3378474398
130	0.3376364109
131	0.3374661002
132	0.3372602512
133	0.3369885719
134	0.3367142934
135	0.336524252
136	0.336405452
137	0.3362641601
138	0.3360817327
139	0.3359317357
140	0.3357106533
141	0.335425204
142	0.335278136
143	0.3350845011
144	0.3349976204
145	0.3347425483
146	0.3343672331
147	0.3341777601
148	0.3340177912
149	0.3337546588
150	0.3336599327
151	0.333460005
152	0.3331857568
153	0.3330531178
154	0.3327118255
155	0.3325917963
156	0.3323173768
157	0.3321038264
158	0.3319434617
159	0.33167456
160	0.3314557817
161	0.3312279818
162	0.3310050099
163	0.3308429875
164	0.3305775405
165	0.3304658793
166	0.3301761704
167	0.3301125599
168	0.3297810544
169	0.3297061356
170	0.3294770946
171	0.3290870872
172	0.3289629253
173	0.3288762401
174	0.3285735027
175	0.3284059028
176	0.3282701226
177	0.3280204779
