iter	Passed	Remaining
0	139	139800
1	142	70917
2	143	47849
3	146	36373
4	148	29503
5	151	25124
6	153	21832
7	156	19346
8	157	17396
9	160	15847
10	162	14594
11	165	13616
12	167	12723
13	169	11945
14	171	11261
15	173	10693
16	176	10198
17	180	9822
18	182	9412
19	183	9014
20	186	8674
21	188	8365
22	190	8093
23	192	7837
24	194	7597
25	196	7379
26	199	7175
27	201	6984
28	203	6812
29	205	6651
30	208	6505
31	210	6362
32	212	6232
33	214	6107
34	217	5987
35	219	5878
36	222	5783
37	225	5699
38	227	5614
39	229	5514
40	233	5456
41	235	5375
42	237	5291
43	239	5212
44	241	5133
45	243	5057
46	246	5001
47	249	4956
48	252	4898
49	254	4835
50	256	4774
51	258	4712
52	260	4658
53	263	4620
54	266	4570
55	267	4516
56	269	4463
57	271	4410
58	273	4362
59	275	4311
60	278	4284
61	280	4245
62	282	4199
63	284	4156
64	286	4117
65	288	4076
66	289	4034
67	292	4002
68	294	3979
69	297	3946
70	299	3912
71	300	3876
72	302	3843
73	304	3811
74	307	3786
75	309	3765
76	311	3737
77	313	3706
78	315	3675
79	317	3648
80	319	3620
81	321	3594
82	324	3582
83	326	3558
84	328	3533
85	329	3506
86	331	3482
87	333	3459
88	336	3439
89	338	3427
90	341	3407
91	343	3386
92	344	3363
93	346	3341
94	348	3322
95	350	3301
96	353	3292
97	355	3275
98	357	3255
99	359	3235
100	361	3217
101	363	3198
102	365	3180
103	368	3174
104	371	3163
105	372	3145
106	374	3126
107	376	3111
108	378	3094
109	380	3077
110	383	3068
111	385	3057
112	387	3042
113	389	3026
114	391	3009
115	393	2996
116	395	2981
117	398	2975
118	400	2964
119	402	2949
120	404	2936
121	406	2924
122	408	2913
123	410	2903
124	413	2897
125	416	2888
126	418	2874
127	420	2862
128	421	2848
129	423	2835
130	425	2823
131	428	2818
132	431	2810
133	433	2802
134	435	2790
135	437	2778
136	439	2766
137	441	2756
138	444	2751
139	446	2741
140	448	2729
141	450	2719
142	452	2711
143	454	2702
144	458	2702
145	461	2699
146	463	2690
147	465	2682
148	467	2671
149	469	2662
150	473	2663
151	475	2655
152	478	2646
153	480	2637
154	482	2628
155	483	2617
156	485	2607
157	488	2603
158	491	2597
159	493	2589
160	495	2581
161	497	2572
162	499	2562
163	500	2553
164	504	2551
165	506	2546
166	509	2540
167	511	2531
168	513	2523
169	514	2514
170	518	2512
171	520	2506
172	522	2497
173	524	2488
174	526	2480
175	528	2472
176	529	2463
177	532	2458
178	534	2452
179	536	2443
180	538	2435
181	539	2426
182	541	2418
183	543	2410
184	546	2405
185	548	2401
186	550	2395
187	552	2387
188	554	2379
189	556	2372
190	558	2364
191	560	2357
192	563	2357
193	566	2352
194	568	2346
195	570	2340
196	572	2332
197	574	2325
198	576	2320
199	579	2317
200	580	2308
201	582	2302
202	584	2294
203	586	2287
204	587	2280
205	590	2275
206	593	2274
207	595	2268
208	597	2261
209	599	2255
210	601	2248
211	602	2241
212	604	2233
213	607	2229
214	609	2225
215	611	2219
216	613	2213
217	615	2206
218	617	2200
219	618	2194
220	621	2191
221	623	2186
222	625	2180
223	627	2173
224	629	2167
225	631	2161
226	632	2154
227	635	2150
228	638	2148
229	640	2142
230	641	2136
231	643	2129
232	645	2124
233	647	2118
234	648	2112
235	652	2111
236	654	2107
237	656	2101
238	658	2095
239	660	2090
240	662	2085
241	663	2079
242	666	2077
243	668	2072
244	670	2067
245	672	2061
246	697	2124
247	699	2122
248	701	2117
249	706	2119
250	709	2118
251	712	2114
252	715	2111
253	717	2106
254	718	2100
255	720	2094
256	722	2088
257	724	2083
258	726	2078
259	729	2076
260	731	2071
261	733	2067
262	735	2061
263	737	2055
264	739	2050
265	740	2044
266	744	2042
267	746	2038
268	748	2033
269	750	2028
270	752	2023
271	753	2017
272	755	2012
273	758	2008
274	761	2006
275	763	2001
276	764	1996
277	766	1991
278	768	1986
279	770	1980
280	773	1978
281	776	1975
282	778	1971
283	780	1967
284	782	1962
285	783	1956
286	785	1951
287	788	1948
288	790	1945
289	792	1940
290	794	1935
291	796	1930
292	798	1927
293	800	1921
294	802	1918
295	805	1915
296	807	1911
297	809	1906
298	811	1901
299	812	1896
300	815	1892
301	817	1888
302	820	1888
303	822	1883
304	824	1879
305	826	1874
306	828	1869
307	830	1865
308	832	1861
309	835	1859
310	837	1855
311	839	1851
312	841	1846
313	842	1841
314	844	1837
315	846	1833
316	850	1832
317	852	1828
318	854	1823
319	856	1819
320	857	1814
321	859	1809
322	861	1805
323	863	1802
324	866	1799
325	868	1794
326	869	1790
327	871	1786
328	873	1781
329	875	1777
330	878	1775
331	880	1771
332	882	1767
333	884	1763
334	886	1759
335	888	1755
336	890	1751
337	894	1751
338	896	1748
339	898	1744
340	900	1740
341	902	1736
342	905	1733
343	908	1732
344	911	1730
345	913	1727
346	916	1724
347	918	1720
348	920	1716
349	923	1715
350	925	1711
351	928	1708
352	930	1704
353	931	1700
354	933	1696
355	935	1692
356	938	1690
357	941	1687
358	943	1683
359	944	1679
360	946	1675
361	948	1671
362	950	1667
363	956	1670
364	959	1668
365	961	1666
366	964	1663
367	967	1661
